Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Middle,Female,Own,Single,Close,27000,2,Low,6,183
Middle,Female,Own,Single,Far,64100,2,High,24,1595
Middle,Male,Rent,Single,Close,47000,1,Medium,12,584
Middle,Female,Own,Married,Close,41600,0,NA,18,982
Middle,Female,Rent,Single,Close,20100,0,Low,24,576
Middle,Male,Own,Single,Close,64000,3,Low,12,410
Middle,Female,Own,Married,Far,96800,3,NA,24,3082
Old,Male,Rent,Married,Close,76200,1,NA,24,2437
Middle,Female,Rent,Married,Far,81500,0,High,18,3655
Young,Female,Own,Single,Close,49600,1,Medium,12,844
Middle,Female,Own,Married,Close,111500,0,High,18,2510
Young,Male,Own,Married,Close,77700,0,NA,6,983
Middle,Male,Own,Married,Close,58900,0,NA,18,1215
Young,Male,Own,Married,Close,126500,2,High,18,2000
Young,Female,Own,Married,Close,83300,1,High,24,2574
Old,Female,Own,Married,Close,90500,1,High,6,1116
Old,Female,Own,Married,Far,87200,0,High,18,3604
Young,Female,Own,Married,Close,105300,1,NA,24,3360
Middle,Female,Own,Single,Far,56000,3,Medium,6,530
Young,Female,Rent,Single,Close,46600,0,Medium,24,906
Middle,Male,Rent,Married,Close,69800,0,High,24,2764
Middle,Male,Own,Single,Close,60300,0,High,24,1263
Young,Male,Rent,Married,Close,67800,0,High,12,1084
Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051
Middle,Female,Own,Married,Far,33700,0,NA,6,614
Young,Male,Own,Single,Close,62700,2,Medium,12,704
Young,Female,Own,Single,Close,25900,2,NA,12,449
Middle,Female,Own,Single,Close,15600,1,Low,6,136
Young,Female,Own,Single,Close,14600,0,Low,24,468
Middle,Female,Own,Married,Close,62600,0,High,6,565
Young,Male,Rent,Married,Close,66700,0,NA,18,1310
Young,Male,Own,Married,Far,72500,0,NA,24,2595
Middle,Female,Rent,Single,Far,13200,0,NA,24,358
Middle,Female,Own,Single,Close,51300,0,Medium,24,1424
Young,Male,Own,Single,Far,72300,0,High,24,4182
Old,Female,Rent,Single,Close,15600,0,NA,12,468
Middle,Female,Own,Married,Far,90400,1,High,18,2924
Middle,Male,Own,Single,Far,71500,0,NA,6,964
Middle,Male,Rent,Single,Close,14400,0,NA,24,615
Young,Male,Rent,Single,Close,15000,3,Low,6,38
Middle,Male,Own,Single,Close,57600,1,NA,6,1006
Young,Female,Rent,Married,Close,60600,3,Low,12,307
Middle,Male,Own,Married,Far,84300,2,High,18,1648
Old,Female,Own,Single,Close,24400,1,Low,6,220
Old,Female,Rent,Single,Close,22100,2,Low,18,280
Old,Male,Rent,Married,Far,48800,2,NA,12,1647
Young,Female,Own,Married,Close,74700,1,Medium,6,704
Young,Female,Rent,Single,Far,32400,1,Medium,24,920
Middle,Female,Own,Single,Close,11400,0,NA,6,258
Young,Male,Own,Married,Close,127000,0,NA,12,1821
Middle,Male,Rent,Single,Close,47200,0,Medium,18,1587
Middle,Female,Own,Single,Close,48700,2,Low,12,528
Young,Male,Rent,Single,Far,20400,0,Medium,18,867
Middle,Male,Rent,Single,Close,39000,0,NA,6,643
Middle,Female,Rent,Single,Close,12900,1,Low,6,107
Middle,Female,Rent,Married,Far,67300,1,High,18,1513
Young,Male,Own,Married,Close,134500,0,High,24,4558
Middle,Male,Own,Married,Close,75500,0,High,6,741
Old,Female,Own,Married,Far,33600,2,Medium,12,805
Young,Female,Rent,Single,Close,16300,1,NA,12,470
Old,Male,Rent,Married,Close,27400,1,Low,6,278
Middle,Female,Own,Married,Close,110400,3,Low,24,1093
Middle,Female,Rent,Single,Far,21100,1,Low,6,470
Middle,Male,Own,Married,Close,81200,0,High,24,1856
Old,Male,Rent,Married,Far,87100,2,High,18,1688
Middle,Female,Rent,Single,Far,21700,3,NA,24,708
Old,Female,Rent,Single,Close,42200,0,NA,18,1753
Young,Male,Rent,Single,Far,59000,0,High,24,3044
Old,Female,Own,Single,Close,52700,2,Low,18,855
Middle,Male,Own,Single,Close,20900,0,Low,24,550
Old,Male,Own,Married,Far,90700,3,High,24,2265
Young,Female,Own,Married,Far,91800,0,NA,24,2452
Young,Female,Own,Single,Far,27900,0,Medium,18,1184
Middle,Female,Own,Married,Close,70700,0,High,24,2150
Middle,Male,Own,Married,Close,79600,2,NA,6,1575
Middle,Male,Rent,Married,Close,96400,1,High,24,1822
Young,Female,Own,Single,Close,46600,2,NA,18,1153
Young,Male,Own,Married,Close,106600,0,High,12,1877
Middle,Female,Rent,Married,Close,104900,3,Low,6,450
Young,Male,Rent,Single,Close,56300,0,Medium,6,873
Middle,Female,Rent,Single,Close,14800,1,Low,6,209
Young,Male,Own,Married,Close,58300,0,Medium,24,1472
Middle,Male,Own,Single,Far,70200,0,High,12,1702
Middle,Male,Own,Married,Far,59700,0,High,18,1857
Young,Male,Rent,Single,Close,25800,0,NA,6,451
Middle,Female,Rent,Single,Close,12000,0,Low,24,344
Old,Male,Rent,Single,Far,51900,0,High,18,1492
Middle,Female,Own,Single,Far,66800,3,NA,24,2098
Young,Male,Own,Married,Close,105300,1,NA,18,3505
Middle,Female,Rent,Single,Far,13800,3,Low,6,127
Young,Male,Rent,Single,Close,14800,3,NA,12,436
Young,Female,Own,Married,Far,44200,0,High,24,2524
Young,Male,Rent,Single,Close,10400,0,NA,18,189
Old,Female,Own,Single,Close,35200,0,Medium,12,607
Middle,Female,Rent,Single,Far,16100,0,NA,6,202
Young,Male,Own,Married,Close,113000,2,Medium,18,1554
Middle,Male,Own,Married,Close,63300,2,NA,6,633
Old,Male,Rent,Single,Close,19100,0,NA,6,176
Old,Female,Own,Married,Close,93400,2,NA,24,3079
Old,Female,Rent,Married,Far,52500,0,High,24,2038
Middle,Female,Rent,Married,Far,45400,3,Medium,24,1203
Young,Female,Own,Single,Far,21400,3,NA,6,326
Young,Female,Own,Single,Close,53700,3,Low,12,235
Young,Female,Own,Married,Far,68000,0,High,24,3688
Middle,Male,Rent,Single,Close,17400,0,NA,12,332
Middle,Female,Rent,Single,Close,14600,1,Low,6,143
Young,Female,Own,Married,Far,100100,0,High,12,3104
Middle,Male,Own,Married,Far,103700,1,High,24,2339
Middle,Female,Rent,Single,Far,10800,3,Low,6,123
Old,Female,Own,Married,Close,81700,3,Low,24,879
Young,Female,Rent,Single,Close,21400,0,Low,18,498
Middle,Female,Own,Married,Close,114800,0,High,18,3596
Middle,Female,Own,Married,Far,67900,0,High,24,2925
Young,Male,Own,Married,Close,53700,1,NA,12,1081
Young,Female,Rent,Single,Far,11400,3,NA,12,312
Middle,Male,Rent,Married,Close,34300,3,NA,12,1297
Middle,Female,Rent,Single,Close,16400,1,Low,12,218
Old,Female,Own,Married,Far,109800,0,High,18,4279
Middle,Male,Own,Single,Close,64200,0,High,18,1642
Middle,Male,Rent,Single,Close,17000,0,NA,18,581
Old,Female,Rent,Single,Close,41400,3,Low,6,223
Middle,Female,Own,Single,Close,49100,2,Low,6,474
Old,Female,Own,Single,Far,42600,0,High,24,1790
Middle,Female,Rent,Single,Close,11900,1,Low,6,143
Young,Male,Own,Married,Far,113600,2,High,18,3237
Middle,Male,Own,Single,Close,52900,1,NA,24,2316
Middle,Female,Rent,Single,Close,14300,1,NA,18,458
Old,Male,Rent,Single,Close,21000,0,Low,24,646
Old,Male,Own,Single,Far,59600,2,Medium,18,1217
Old,Female,Rent,Single,Close,39700,3,Low,12,238
Young,Male,Own,Married,Close,51200,0,Medium,12,1293
Middle,Female,Own,Married,Close,88200,0,NA,24,2749
Old,Male,Own,Married,Far,122100,0,High,12,2408
Young,Female,Rent,Married,Close,84800,0,High,18,2624
Old,Male,Own,Married,Far,140000,0,High,12,4894
Middle,Female,Own,Single,Close,28500,0,Low,24,621
Young,Male,Rent,Single,Close,60300,0,High,6,701
Middle,Female,Rent,Married,Far,51900,0,NA,6,780
Middle,Male,Own,Single,Close,60200,0,Medium,12,1365
Middle,Male,Own,Married,Far,81200,0,High,12,2693
Young,Male,Own,Married,Close,73100,0,High,6,1582
Middle,Male,Own,Single,Close,45700,0,Medium,18,724
Young,Female,Rent,Single,Close,28900,0,Low,12,830
Middle,Female,Rent,Married,Close,60100,0,NA,18,1594
Middle,Female,Own,Married,Close,84800,1,NA,12,1826
Young,Female,Own,Married,Close,35000,0,Medium,6,473
Young,Female,Rent,Married,Close,61700,0,NA,12,1161
Old,Female,Rent,Married,Close,46900,0,Medium,6,703
Middle,Female,Own,Married,Close,123600,1,NA,12,1892
Middle,Male,Rent,Married,Close,45800,0,Medium,6,489
Young,Male,Own,Married,Far,77800,1,High,18,1813
Young,Female,Own,Single,Close,48700,1,NA,12,1457
Middle,Female,Rent,Single,Far,39000,3,Low,6,292
Old,Female,Rent,Married,Close,40000,0,NA,6,613
Middle,Female,Rent,Married,Close,118300,1,NA,18,2681
Middle,Female,Own,Single,Close,27100,2,Low,24,437
Middle,Female,Rent,Married,Close,91000,2,Medium,6,708
Young,Female,Own,Married,Close,35300,0,Medium,24,1093
Young,Female,Rent,Single,Far,10200,2,Low,18,213
Young,Female,Rent,Single,Close,12500,1,Low,6,202
Middle,Female,Own,Single,Close,64600,0,NA,6,1298
Old,Male,Own,Married,Far,113800,0,NA,12,3273
Middle,Male,Own,Married,Far,113400,3,High,18,1790
Middle,Female,Rent,Single,Close,16900,1,Low,6,247
Young,Female,Rent,Single,Close,13600,1,Low,6,183
Young,Male,Own,Married,Far,100100,1,High,24,3491
Middle,Female,Own,Married,Far,80000,0,High,6,1985
Middle,Male,Own,Married,Close,83900,0,High,24,1721
Middle,Male,Own,Married,Close,77000,0,High,12,2104
Young,Female,Rent,Married,Close,72900,3,Low,6,252
Young,Male,Rent,Married,Close,80700,3,Low,6,202
Middle,Female,Rent,Married,Close,40900,1,Medium,18,962
Middle,Female,Rent,Single,Close,26700,1,NA,12,459
Middle,Male,Own,Married,Close,54700,0,Medium,18,848
Middle,Female,Rent,Married,Close,23600,1,Low,6,161
Old,Male,Rent,Single,Far,56900,0,High,24,1857
Middle,Male,Own,Single,Far,68700,1,NA,24,1699
Young,Female,Rent,Single,Close,19300,1,Low,24,308
Young,Male,Rent,Married,Far,20200,1,Low,24,500
Old,Female,Rent,Married,Far,61500,3,Medium,24,1162
Young,Female,Own,Married,Far,101700,1,NA,24,2551
Old,Female,Rent,Married,Far,120800,1,High,24,5830
Old,Female,Rent,Single,Far,17300,1,Low,18,381
Middle,Female,Rent,Married,Close,42300,0,NA,6,856
Old,Male,Rent,Single,Close,53300,0,Medium,18,1720
Old,Female,Rent,Single,Close,42800,0,Medium,12,759
Young,Male,Own,Married,Close,98400,0,High,18,3305
Middle,Female,Own,Single,Close,51200,0,Medium,18,1257
Young,Male,Own,Single,Close,62200,0,NA,12,1583
Old,Male,Own,Married,Close,109200,3,Low,24,1102
Young,Female,Rent,Single,Close,11400,2,NA,6,186
Young,Female,Rent,Single,Close,14000,0,Low,12,229
Young,Female,Rent,Married,Close,97000,0,NA,24,2599
Young,Female,Own,Single,Far,29600,3,NA,12,774
Old,Male,Own,Married,Close,71200,1,Medium,12,638
Young,Female,Rent,Single,Far,15000,0,Low,12,378
Middle,Male,Rent,Married,Far,64000,1,NA,6,1552
Middle,Male,Own,Married,Far,33000,0,Medium,12,979
Old,Female,Own,Married,Close,74400,0,High,18,2479
Middle,Male,Rent,Single,Far,20300,2,Low,24,450
Middle,Male,Rent,Married,Close,68700,0,High,24,2763
Young,Male,Rent,Married,Far,53600,3,Medium,24,1560
Young,Female,Own,Single,Close,33200,0,Medium,24,1037
Young,Female,Own,Married,Far,70900,0,NA,6,690
Old,Female,Rent,Single,Close,23200,3,NA,24,770
Old,Male,Own,Single,Close,41400,0,Medium,18,643
Old,Female,Rent,Married,Close,63200,0,High,24,1512
Middle,Male,Own,Married,Close,107400,0,High,12,1485
Young,Male,Rent,Single,Far,13900,0,NA,24,570
Middle,Female,Rent,Married,Close,79900,1,Medium,18,1165
Old,Male,Own,Married,Far,120000,3,High,18,1926
Young,Male,Rent,Married,Far,66300,0,NA,18,2243
Young,Female,Own,Single,Close,54400,3,Low,18,342
Young,Male,Own,Married,Close,84200,0,High,24,1654
Middle,Female,Rent,Married,Close,13800,0,Low,18,363
Middle,Female,Rent,Single,Far,14500,1,Low,6,222
Middle,Male,Rent,Single,Close,21300,0,Low,24,677
Middle,Male,Rent,Single,Close,29000,0,Low,6,482
Middle,Female,Rent,Single,Close,14600,1,Low,24,385
Old,Male,Own,Single,Close,65300,0,High,18,1443
Young,Female,Own,Married,Close,100800,1,High,24,1789
Middle,Female,Rent,Single,Far,19800,1,Low,24,991
Young,Male,Own,Single,Close,56700,2,Low,18,536
Middle,Male,Rent,Married,Close,90200,0,High,18,2183
Young,Male,Rent,Single,Close,26100,1,NA,6,494
Middle,Female,Rent,Single,Close,15900,0,Low,18,503
Middle,Female,Rent,Single,Close,12700,3,Low,12,87
Old,Male,Rent,Single,Close,43200,0,NA,24,917
Young,Female,Rent,Married,Close,114100,1,NA,24,1976
Middle,Male,Own,Married,Close,96100,3,Low,12,316
Young,Male,Own,Married,Close,97200,0,NA,12,1634
Young,Male,Own,Married,Far,82400,2,High,24,2035
Middle,Male,Own,Single,Far,62000,0,High,24,3293
Middle,Female,Rent,Single,Close,13400,1,Low,12,143
Middle,Male,Own,Married,Close,108200,3,Low,12,635
Middle,Female,Own,Married,Close,76200,0,High,12,979
Old,Male,Rent,Married,Close,81800,1,High,18,1838
Old,Female,Rent,Single,Far,12000,0,Low,6,264
Middle,Male,Own,Married,Close,76100,0,NA,6,719
Middle,Male,Own,Married,Close,82100,1,High,18,1308
Young,Female,Own,Married,Close,103300,0,High,24,3378
Young,Male,Rent,Single,Close,14200,1,NA,24,400
Middle,Female,Own,Single,Far,47500,0,High,6,847
Young,Female,Rent,Single,Close,31300,1,Low,6,357
Old,Female,Rent,Married,Far,32700,1,NA,18,1276
Middle,Male,Own,Married,Close,72200,0,High,24,2492
Young,Female,Own,Married,Close,107600,2,Medium,12,1512
Young,Male,Own,Married,Close,109900,2,Medium,12,870
Middle,Female,Own,Married,Close,65400,2,Medium,24,938
Middle,Female,Own,Single,Close,43300,0,NA,12,1584
Middle,Female,Own,Single,Close,51900,0,Medium,12,1148
Middle,Female,Own,Married,Far,80600,0,High,24,2840
Middle,Female,Rent,Single,Close,42700,0,Medium,12,827
Middle,Male,Rent,Single,Far,19000,0,NA,12,428
Young,Female,Rent,Single,Close,14500,1,Low,6,183
Young,Female,Own,Married,Close,68200,1,NA,6,818
Old,Male,Rent,Married,Close,36700,0,Medium,12,731
Young,Male,Own,Married,Far,54600,0,High,24,2163
Middle,Male,Own,Married,Close,65900,1,Medium,12,1081
Middle,Male,Own,Single,Far,39600,0,NA,12,1085
Old,Male,Rent,Married,Far,67300,3,NA,6,1212
Middle,Male,Own,Single,Close,59700,1,NA,18,1422
Young,Female,Own,Married,Far,102800,2,High,18,2238
Middle,Female,Rent,Single,Close,34700,0,NA,18,1615
Old,Male,Own,Single,Close,50600,3,NA,6,713
Middle,Male,Rent,Married,Close,106700,2,Medium,6,607
Middle,Male,Rent,Single,Close,53900,1,Medium,6,735
Old,Female,Rent,Married,Close,25500,2,Low,6,139
Old,Male,Rent,Married,Far,46300,1,Medium,18,1357
Middle,Male,Own,Married,Close,55500,0,Medium,18,858
Middle,Female,Own,Single,Close,27800,3,NA,12,408
Young,Male,Own,Married,Close,118600,1,NA,12,1553
Young,Female,Own,Married,Close,130700,3,NA,6,2070
Middle,Male,Rent,Single,Close,42800,0,Medium,12,922
Middle,Female,Own,Married,Far,118300,1,High,12,2502
Old,Female,Rent,Single,Far,25600,2,NA,18,426
Young,Male,Rent,Married,Close,63500,2,NA,24,2321
Young,Female,Own,Single,Close,30900,0,Medium,18,862
Young,Male,Own,Single,Close,55900,1,NA,24,2555
Young,Male,Own,Single,Far,53900,0,NA,12,1186
Young,Male,Own,Married,Close,84300,0,High,24,2842
Middle,Male,Own,Single,Close,53400,1,Medium,12,886
Middle,Male,Own,Married,Close,96900,1,High,12,1420
Middle,Male,Rent,Single,Far,55800,1,NA,6,821
Middle,Female,Rent,Married,Close,25900,1,Low,6,242
Young,Female,Rent,Single,Close,22000,1,Low,12,472
Middle,Female,Rent,Married,Close,96700,2,Medium,12,1231
Young,Female,Rent,Single,Close,40200,1,NA,12,881
Middle,Male,Own,Married,Close,26800,0,Low,12,435
Young,Female,Rent,Single,Close,16700,2,Low,12,108
Middle,Female,Rent,Married,Close,40900,2,Low,18,576
Young,Male,Rent,Married,Far,41500,3,NA,24,1314
Old,Male,Rent,Single,Close,20900,0,NA,6,296
Middle,Female,Rent,Married,Close,69700,2,Medium,6,584
Middle,Male,Rent,Single,Close,61800,0,High,24,1156
Middle,Male,Own,Married,Close,102500,1,High,24,2464
Middle,Female,Own,Married,Close,48900,3,NA,18,915
Young,Male,Own,Single,Close,60300,0,NA,24,2091
Middle,Male,Rent,Married,Far,41600,0,High,24,1690
Old,Male,Own,Single,Close,73700,1,Medium,12,1274
Middle,Female,Rent,Single,Close,27000,1,NA,24,1012
Young,Female,Rent,Single,Close,43700,0,Medium,12,950
Middle,Male,Rent,Single,Close,10200,2,NA,12,333
Middle,Female,Own,Married,Close,63300,2,Medium,24,679
Old,Female,Own,Single,Far,33200,2,Medium,12,607
Middle,Female,Own,Married,Far,78800,0,High,18,3398
Middle,Male,Own,Married,Close,82500,0,High,6,859
Middle,Male,Own,Single,Far,80800,2,High,18,2444
Old,Male,Own,Married,Close,88100,2,Medium,24,1078
Middle,Male,Rent,Married,Far,124800,3,High,18,2537
Middle,Male,Own,Single,Close,31900,0,Medium,6,616
Middle,Female,Own,Single,Close,53300,3,NA,6,508
Middle,Male,Own,Married,Far,15400,0,Low,6,297
Middle,Male,Own,Married,Close,70200,0,NA,6,1583
Middle,Female,Rent,Single,Close,23000,3,Low,6,79
Middle,Female,Own,Married,Close,82400,2,Medium,18,657
Middle,Female,Own,Married,Close,97900,0,High,24,2149
Young,Female,Rent,Married,Far,88400,0,High,18,3632
Middle,Female,Own,Married,Close,86900,0,High,18,2230
Old,Female,Own,Single,Close,45100,1,Medium,12,448
Middle,Male,Rent,Single,Close,41800,3,Low,24,301
Middle,Male,Own,Married,Close,74800,0,High,18,1968
Middle,Female,Rent,Married,Close,73000,1,Medium,6,490
Young,Male,Own,Married,Close,118500,1,High,24,3063
Young,Male,Own,Single,Close,65300,3,Low,6,193
Old,Female,Rent,Married,Close,66300,2,Medium,12,544
Young,Male,Own,Married,Far,103900,1,High,24,2666
Middle,Female,Own,Married,Close,71900,0,High,18,1846
Middle,Male,Own,Married,Far,86100,1,NA,12,1255
Middle,Male,Own,Married,Close,96300,1,High,12,1081
Old,Female,Rent,Single,Close,10200,3,NA,6,199
Young,Male,Own,Married,Close,96300,2,NA,18,3916
Middle,Female,Own,Single,Far,24000,1,Low,6,357
Middle,Female,Rent,Married,Close,46700,0,Medium,24,983
Old,Female,Rent,Single,Close,53700,2,NA,12,1194
Young,Male,Rent,Married,Close,108300,2,NA,12,2224
Young,Female,Rent,Single,Close,12100,1,Low,6,90
Young,Male,Rent,Married,Close,36600,0,NA,6,587
Old,Male,Own,Married,Close,66300,0,High,12,1088
Old,Female,Own,Single,Close,33400,1,NA,6,617
Middle,Male,Own,Married,Far,70000,1,NA,6,1227
Middle,Female,Own,Single,Close,47900,1,Medium,24,662
Old,Female,Rent,Married,Close,40500,2,Low,18,622
Old,Male,Own,Single,Close,69100,0,High,12,1477
Young,Female,Rent,Single,Close,13300,1,NA,6,236
Young,Female,Rent,Married,Far,75800,1,High,12,1830
Middle,Female,Rent,Married,Close,48600,0,Medium,24,1583
Middle,Female,Own,Single,Close,39600,0,Medium,12,610
Young,Female,Rent,Single,Close,11700,0,Low,12,193
Old,Male,Rent,Married,Close,52600,1,Medium,12,1052
Old,Male,Rent,Single,Close,14600,3,NA,6,307
Young,Male,Own,Married,Close,123000,0,High,24,3671
Middle,Female,Rent,Married,Far,64600,0,High,18,2206
Young,Female,Own,Single,Far,34600,2,Medium,18,748
Middle,Male,Own,Married,Close,74500,0,High,6,1481
Middle,Male,Own,Married,Close,56600,0,NA,24,1607
Middle,Female,Rent,Single,Close,37000,1,NA,6,632
Middle,Female,Rent,Single,Far,18400,1,Low,6,303
Young,Male,Rent,Single,Close,25000,0,Low,6,264
Young,Male,Own,Married,Far,61400,1,High,24,1575
Middle,Male,Own,Married,Close,76400,2,Medium,18,881
Middle,Male,Own,Married,Close,55100,0,Medium,18,1439
Old,Female,Own,Married,Far,22800,0,NA,12,452
Middle,Female,Own,Married,Close,10100,1,Low,6,93
Middle,Male,Rent,Single,Close,17800,0,Low,18,292
Old,Female,Own,Married,Close,59100,1,NA,6,1426
Young,Female,Rent,Single,Far,19700,2,Low,6,330
Middle,Male,Own,Married,Far,73800,0,High,24,3120
Middle,Male,Own,Married,Far,113300,1,High,18,5151
Young,Male,Own,Married,Far,118400,2,NA,12,3941
Middle,Male,Own,Married,Close,92300,1,NA,24,2141
Middle,Male,Rent,Single,Close,11200,0,NA,6,106
Young,Female,Rent,Married,Far,30100,0,Medium,12,530
Middle,Female,Own,Single,Close,43500,1,Medium,12,500
Young,Male,Own,Married,Close,97500,0,High,18,2837
Middle,Male,Own,Married,Close,54600,0,Medium,24,1246
Young,Male,Rent,Single,Far,42500,1,NA,6,798
Middle,Male,Own,Single,Close,82800,0,NA,6,1544
Old,Male,Own,Married,Far,62300,0,High,24,2644
Young,Male,Rent,Single,Far,21900,2,NA,6,192
Young,Female,Rent,Single,Far,35600,3,Low,18,865
Old,Male,Own,Married,Close,96900,0,High,6,1159
Old,Female,Rent,Married,Close,36900,1,NA,18,1480
Old,Female,Rent,Married,Close,93500,1,High,18,1426
Old,Male,Own,Married,Close,97300,1,NA,12,3048
Young,Male,Rent,Single,Close,21900,0,Low,12,276
Middle,Male,Rent,Single,Close,63000,0,High,24,1910
Young,Female,Rent,Single,Close,11500,3,NA,6,157
Middle,Male,Own,Single,Close,44600,2,Low,6,236
Middle,Female,Rent,Single,Close,21900,1,NA,12,576
Middle,Male,Rent,Single,Far,45100,1,Medium,12,794
Middle,Female,Own,Married,Close,74900,0,High,12,1474
Middle,Male,Rent,Single,Close,14200,0,Low,6,250
Middle,Female,Rent,Single,Far,23200,2,NA,24,788
Middle,Male,Own,Married,Close,73300,0,NA,12,1694
Middle,Male,Own,Married,Far,41300,0,High,24,1985
Middle,Female,Own,Single,Far,32700,0,Medium,24,1252
Middle,Female,Own,Single,Close,35200,0,NA,12,827
Middle,Female,Rent,Single,Close,13100,0,NA,18,314
Middle,Male,Own,Married,Close,97400,1,High,6,880
Young,Female,Rent,Single,Far,23100,2,Low,6,466
Middle,Male,Own,Single,Close,49200,3,Low,12,210
Middle,Male,Own,Single,Far,45000,1,NA,18,902
Old,Male,Own,Married,Close,87200,0,High,18,1274
Middle,Male,Own,Single,Close,49900,1,NA,24,1631
Old,Male,Own,Married,Close,66900,0,High,12,1220
Old,Female,Own,Single,Close,47600,1,Medium,12,801
Young,Female,Own,Single,Close,47900,0,NA,12,1090
Middle,Male,Own,Single,Close,59400,0,Medium,18,1699
Middle,Female,Rent,Single,Close,32700,2,Low,6,273
Middle,Male,Rent,Single,Close,34200,1,Low,18,523
Middle,Male,Own,Married,Close,96600,0,NA,12,1437
Young,Female,Own,Married,Close,126300,1,High,6,1888
Middle,Male,Rent,Single,Close,31600,1,NA,12,476
Old,Female,Own,Married,Far,108100,3,High,18,2632
Middle,Female,Rent,Single,Close,43300,3,Low,24,326
Old,Female,Rent,Single,Far,17900,0,Low,6,446
Young,Male,Own,Single,Far,50100,1,High,18,1071
Middle,Female,Own,Married,Close,74700,0,High,12,1699
Middle,Male,Rent,Married,Close,60000,0,Medium,6,966
Middle,Male,Own,Single,Close,33400,0,NA,12,567
Old,Female,Rent,Married,Close,68800,0,NA,6,1658
Middle,Female,Rent,Single,Close,25700,2,Low,6,173
Young,Male,Own,Married,Close,83700,0,High,24,3344
Middle,Male,Rent,Single,Close,50500,0,Medium,12,1029
Middle,Female,Rent,Single,Close,17300,0,Low,12,345
Young,Male,Own,Single,Close,45800,0,NA,6,712
Young,Male,Own,Married,Close,108900,0,High,12,1841
Young,Female,Rent,Married,Close,60500,2,Low,6,409
Middle,Female,Own,Married,Far,84100,0,High,18,2710
Middle,Male,Rent,Married,Far,25100,0,Medium,12,592
Middle,Male,Own,Married,Close,69900,1,NA,18,2101
Middle,Male,Own,Married,Close,97100,0,NA,12,1473
Middle,Female,Own,Married,Close,72200,2,Medium,18,715
Middle,Female,Own,Married,Far,78900,0,High,18,2233
Young,Female,Own,Single,Far,62500,3,NA,6,921
Old,Female,Rent,Single,Close,17800,1,Low,6,216
Young,Female,Own,Married,Close,105500,1,High,6,1781
Middle,Female,Own,Single,Close,46100,2,Low,12,418
Middle,Male,Rent,Single,Close,27100,1,Low,12,268
Middle,Male,Rent,Married,Far,60300,1,NA,6,1252
Middle,Female,Rent,Single,Close,12000,0,Low,6,140
Young,Female,Own,Single,Close,48400,0,Medium,12,992
Old,Male,Rent,Single,Close,45600,0,Medium,18,1388
Middle,Female,Own,Single,Close,35200,2,Low,6,233
Young,Male,Rent,Single,Far,60200,0,High,24,2304
Middle,Female,Rent,Married,Far,53900,1,High,18,2177
Middle,Male,Own,Married,Close,70400,2,NA,12,1127
Middle,Male,Rent,Married,Close,36900,0,Medium,18,721
Middle,Female,Own,Single,Close,36100,0,Medium,12,438
Middle,Female,Rent,Single,Close,11000,2,NA,18,393
Middle,Male,Own,Single,Close,61600,0,NA,18,1666
Young,Male,Own,Married,Close,88700,1,NA,18,2448
Middle,Female,Own,Married,Far,88600,1,High,18,2563
Young,Male,Rent,Married,Close,79500,0,High,18,1763
